"","year","chinook","pod","heading","whales","sot.n","tot.time","rolling","cartwheel","breach","pecslap","dorsal.slap","tailslap","other.perc","spyhop","tide","tot.breach","tot.perc","pwm","bwm","swm","npods"
"1",2000,-0.49,"J","N",19,3.47,77,0,0,0,0,0,0,0,0,"slack",0,0,0,0,0,1
"2",2000,-0.49,"J","S",14,0.57,14,0,0,0,0,0,0,0,1,"flood",0,0,0,0,0.00510204081632653,1
"3",2000,-0.49,"J","S",14,1.29,27,0,0,0,0,0,0,0,0,"slack",0,0,0,0,0,1
"4",2000,-0.49,"J","N",17,2.35,53,0,0,8,1,0,4,0,0,"flood",8,5,0.00554938956714761,0.00887902330743618,0,1
"5",2000,-0.49,"J","N",18,2.39,60,0,0,2,0,0,1,0,0,"flood",2,1,0.000925925925925926,0.00185185185185185,0,1
"6",2000,-0.49,"J","S",17,2.24,48,0,0,0,0,0,2,0,1,"ebb",0,2,0.00245098039215686,0,0.00122549019607843,1
"7",2000,-0.49,"J","NS",6,NA,54,0,0,0,0,0,6,0,0,"flood",0,6,0.0185185185185185,0,0,1
"8",2000,-0.49,"J","S",19,0.05,14,0,0,0,0,0,0,0,0,"ebb",0,0,0,0,0,1
"9",2000,-0.49,"J","N",15,0.93,23,0,0,1,1,3,2,0,1,"slack",1,6,0.0173913043478261,0.00289855072463768,0.00289855072463768,1
"10",2000,-0.49,"J","N",19,0.05,28,0,0,0,0,0,1,0,1,"flood",0,1,0.0018796992481203,0,0.0018796992481203,1
"11",2000,-0.49,"J","N",19,0.05,10,0,0,0,0,0,0,0,0,"ebb",0,0,0,0,0,1
"12",2000,-0.49,"J","NS",9,0.67,37,0,1,2,0,0,1,0,0,"slack",3,1,0.003003003003003,0.00900900900900901,0,1
"13",2000,-0.49,"JKL","N",25,0.2,14,0,1,0,0,0,2,1,0,"flood",1,3,0.00857142857142857,0.00285714285714286,0,3
"14",2000,-0.49,"J","S",14,1,20,0,0,7,0,0,0,0,0,"ebb",7,0,0,0.025,0,1
"15",2000,-0.49,"J","N",16,0.88,29,0,1,0,0,0,4,0,0,"flood",1,4,0.00862068965517241,0.0021551724137931,0,1
"16",2000,-0.49,"J","N",19,2.79,71,0,0,0,1,0,19,0,0,"ebb",0,20,0.0148257968865827,0,0,1
"17",2000,-0.49,"J","S",16,0.5,17,0,0,3,0,0,1,0,0,"ebb",3,1,0.00367647058823529,0.0110294117647059,0,1
"18",2000,-0.49,"J","N",15,1.4,26,2,1,0,1,0,9,0,2,"flood",1,10,0.0256410256410256,0.00256410256410256,0.00512820512820513,1
"19",2000,-0.49,"JL","N",28,1.46,51,0,0,10,0,0,1,0,0,"flood",10,1,0.000700280112044818,0.00700280112044818,0,2
"20",2000,-0.49,"J","NS",5,NA,12,0,0,0,0,0,0,0,0,"flood",0,0,0,0,0,1
